about_link,thumb_link,year_end,year_begin,title,format,source,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,relation,location 1,location 2,location 3,location 4,location 5,identifier,rights,publisher,type,creator 1,creator 2,language,description,contributor 1,contributor 2,contributor 3
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/830,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/830,1925,1900,"Municipal Center, Lake Forest, Illinois, early 20th century
","
Photographs
tiff","
",Central business districts,Towers,Civic centers,Municipal buildings,"Public buildings
",,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Lake Forest
",,,,,"Midwest MS Sloan Box 2 Folder 43

mms_sloan_bx_2_fl_43_16_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Fountain, North tower and North row; Lake Forest Civic Center""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/831,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/831,1914,1913,"Holy Cross Catholic Church, Chicago, between 1913 and 1914
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 13

mms_sloan_bx_1_fl_13_04_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Holy Cross, 65th and Jackson Ave.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/832,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/832,1925,1900,"Railroad yard, Illinois, early 20th century
","
Photographs
tiff","
","Railroad yards
",,,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois
",,,,,"

mms_sloan_bx_2_fl_55_06_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,Unidentified railroad yard.,,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/833,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/833,1914,1913,"Our Lady of Lourdes Church, Chicago, between 1913 and 1914
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 13

mms_sloan_bx_1_fl_13_12_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""When building was on S.E. corner of Ashland and Leland Ave., now across Ashland at S.W corner, 4640 N. Ashland""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/834,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/834,,1913,"Holy Name Cathedral, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 28

mms_sloan_bx_1_fl_28_13_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Holy Name Cath., N. State and Superior""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/835,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/835,1925,1900,"United Presbyterian Church, Chicago, early 20th century
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 25

mms_sloan_bx_1_fl_25_01_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""United Presbyterian, Woodlawn Ave. 62nd""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/836,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/836,,1913,"Fourth Baptist Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 12

mms_sloan_bx_1_fl_12_01_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Monroe and Ashland; seven below zero""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/837,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/837,,1913,"Saint Mel's Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 17

mms_sloan_bx_1_fl_17_08_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Mel's, Washington Blvd., N. 43rd Ave.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/838,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/838,1925,1900,"House, Chicago, early 20th century
","
Photographs
tiff","
",Housing,Art nouveau (Architecture),"Architecture, Domestic","Dwellings
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 37

mms_sloan_bx_1_fl_37_10_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Art Nouveau house; 5739 Woodlawn Ave.; Howard Shaw""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/839,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/839,,1913,"Presentation Catholic Church, Chicago, December 26, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 13

mms_sloan_bx_1_fl_13_13_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Presentation, Lexington and Harding, December 26, 1913""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/840,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/840,,1913,"Saint Jarlath Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 16

mms_sloan_bx_1_fl_16_06_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St. Jarlath's Church, W. Jackson Blvd. at Hermitage Ave., South East corner""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/841,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/841,1925,1900,"Unity Temple, Oak Park, Illinois, early 20th century
","
Photographs
tiff","
",Churches,Church buildings,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Oak Park
",,,,,"Midwest MS Sloan Box 2 Folder 42

mms_sloan_bx_2_fl_42_12_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Unity Church; Lake St, and Kenilworth Av., O.P; Frank Lloyd Wright, Archt.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/842,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/842,1925,1900,"Colonial style house, Winnetka, Illinois, early 20th century
","
Photographs
tiff","
",Housing,Dwellings,"Architecture, Domestic","Architecture, Colonial
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Winnetka
",,,,,"Midwest MS Sloan Box 2 Folder 48

mms_sloan_bx_2_fl_48_05_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Colonial Res.; 735 Sheridan Rd., Winnetka""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/843,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/843,,1913,"Saint George Lithuanian Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 15

mms_sloan_bx_1_fl_15_12_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""St George Lithuanian, 31st and Auburn""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/844,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/844,,1912,"William McKinley Monument, McKinley Park, Chicago, October 13, 1912
","
Photographs
tiff","
",Sculpture,Parks,"McKinley, William, 1843-1901
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 2 Folder 52

mms_sloan_bx_2_fl_52_20_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""October 13, 1912""--Photograph verso. William McKinley Monument by Charles Mulligan, 1905.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/845,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/845,1925,1900,"Pilgrim Congregational Church, Oak Park, Illinois, early 20th century
","
Photographs
tiff","
",Churches,Church buildings,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Oak Park
",,,,,"Midwest MS Sloan Box 2 Folder 42

mms_sloan_bx_2_fl_42_15_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Pilgrim Cong'l Ch. N.E. corner Lake and Scoville Ave; O.P.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/846,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/846,1925,1900,"Covenant Methodist Church, Evanston, Illinois, early 20th century
","
Photographs
tiff","
",Churches,Church buildings,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Evanston
",,,,,"Midwest MS Sloan Box 2 Folder 42

mms_sloan_bx_2_fl_42_07_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Covenant M.E., N. Evanston""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/847,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/847,,1913,"Japanese temple building, World's Columbian Exposition, Chicago, 1913
","
Photographs
tiff","
",World's Columbian Exposition,Exhibition buildings,"Architecture, Japanese
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 41

mms_sloan_bx_1_fl_41_02_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Japanese building on wooden island, 1893 Columbian Exposition, Jackson Park""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/848,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/848,1925,1900,"Anshe Kenesseth Israel Synagogue, Chicago, early 20th century
","
Photographs
tiff","
",Synagogues,"Religious facilities
",,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 26

mms_sloan_bx_1_fl_26_04_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Douglas Blvd and Spaulding""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/849,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/849,,1938,"House, Chicago, May 11, 1938
","
Photographs
tiff","
",Housing,"Architecture, Domestic","Dwellings
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 37

mms_sloan_bx_1_fl_37_04_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""6231 Sheridan Rd., Italian elements; May 11, 1938""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/850,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/850,1925,1900,"Apartment building, 1524 Astor Street, Chicago, early 20th century
","
Photographs
tiff","
",Apartment houses,"Apartments
",,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 11

mms_sloan_bx_1_fl_11_01_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Modern Entrance, 1524 Astor Street""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/851,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/851,1914,1913,"Holy Name Cathedral, Chicago, between 1913 and 1914
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 13

mms_sloan_bx_1_fl_13_08_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Holy Name, State and Superior""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/852,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/852,1925,1900,"Apartment building, 5007 Grand Boulevard, Chicago, early 20th century
","
Photographs
tiff","
",Apartment houses,"Apartments
",,,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 11

mms_sloan_bx_1_fl_11_12_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Venetian - 5007 Grand Blvd.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/853,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/853,,1913,"Saint Louis De France Catholic Church, Chicago, April 22, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"

mms_sloan_bx_1_fl_29_04_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""S. State St. at 117th St., St. Louis, W. Pullman; April 22, 1913""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/854,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/854,1925,1900,"First Methodist Church, Evanston, Illinois, early 20th century
","
Photographs
tiff","
",Churches,Church buildings,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Evanston
",,,,,"Midwest MS Sloan Box 2 Folder 42

mms_sloan_bx_2_fl_42_08_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""First  Methodist; Church St. and Hinman Ave., Evanston; Thos. Tallmadge, Arch.""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/855,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/855,,1913,"Harper Memorial Library, University of Chicago, December 28, 1913
","
Photographs
tiff","
",University of Chicago,Libraries,Academic libraries,Library buildings,Universities and colleges,College facilities,"College buildings
",,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 31

mms_sloan_bx_1_fl_31_08_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""West doorway, Harper Library, U. of C.; December 28, 1913""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/856,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/856,,1913,"Christ Evangelical German Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"

mms_sloan_bx_1_fl_23_10_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Christ Evang. German Church, Lexington and Sacramento""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/857,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/857,1925,1900,"House, Evanston, Illinois, early 20th century
","
Photographs
tiff","
",Housing,Dwellings,"Architecture, Tudor","Architecture, Domestic
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Evanston
",,,,,"Midwest MS Sloan Box 2 Folder 44

mms_sloan_bx_2_fl_44_13_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Lake Shore Boulevard, Evanston""--Photograph verso. 1012 Lake Shore Boulevard; Tudor Revival; designed by Spencer & Kendall.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/858,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/858,,1913,"Holy Innocents Church, Chicago, 1913
","
Photographs
tiff","
",Church buildings,Churches,"Religious facilities
",,,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 16

mms_sloan_bx_1_fl_16_10_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""Holy Innocents (Polish), Superior and  Laflin""--Photograph verso.",,,
http://collections.carli.illinois.edu:80/cdm/ref/collection/nby_chicago/id/859,http://collections.carli.illinois.edu/utils/getthumbnail/collection/nby_chicago/id/859,,1913,"Edward Morris house, Chicago, April 26, 1913
","
Photographs
tiff","
",Housing,Mansions,"Architecture, Domestic","Dwellings
",,,,,"Percy H. Sloan photographs, 1890-1930
Midwest Manuscript Collection (Newberry Library)
Chicago and the Midwest (Newberry Library)","Illinois--Chicago
",,,,,"Midwest MS Sloan Box 1 Folder 35

mms_sloan_bx_1_fl_35_17_o2.jpg","All rights reserved by the Newberry Library. Permission to reproduce in any format must be requested in writing. Contact Photoduplication Department, Newberry Library, 60 W. Walton St., Chicago, IL 60610. Phone: 312-255-3566 E-mail: photoduplication@newberry.org",Newberry Library,Still image,"Sloan, Percy H. (Percy Haydn), 1867-",,English,"""English mansion, Ed Morris house, 47th and Drexel Blvd.; April 26, 1913""--Photograph verso.",,,
